ticker,name,sector,sharpe ratio,FFM returns,P/E ratio,EPS,beta,mkt cap,shares
GPC,Genuine Parts,Consumer Discretionary,2.9244641954801547,0.074228025,17.71,5.45,0.89,14016415887,145293000
GIS,General Mills,Consumer Staples,2.6412807761987938,0.063146888,15.34,3.48,0.73,32242795100,604817000
OKE,ONEOK,Energy,0.9173258155980414,0.230147782,25.56,3.01,1.11,31799253894,413085000
SYF,Synchrony Financial,Financials,2.4933359586834767,0.091836098,6.07,5.56,1.21,20704848750,613477000
AMGN,Amgen Inc,Health Care,1.8616491950461436,0.151748658,17.36,12.88,1.12,131810065840,589807000
LUV,Southwest Airlines,Industrials,1.7265757683369565,0.10783286199999999,13.77,4.21,1.47,29987649751,517296000
GOOGL,Alphabet Inc Class A,Information Technology,1.1980263475215909,0.214639843,30.89,49.16,1.02,1044236513876,299895000
LYB,LyondellBasell,Materials,2.072392824468477,0.103512466,8.65,9.55,1.45,27505799491,333000000
HST,Host Hotels & Resorts,Real Estate,2.308137021714921,0.052833242,10.89,1.55,1.17,12127479870,717178000
PPL,PPL Corp.,Utilities,2.7554877393877537,0.098239274,14.38,2.46,0.51,25573676437,723033000
