Stock,Sharpe Ratio
DXC,0.6659305263369578
BBY,0.8239151677600225
AMG,1.0979859640832188
CNP,1.3612303069648495
WMT,1.2710964130621618
MRK,1.3680581566358117
NEM,1.2486611843780437
VFC,1.323241408654846
MDT,1.9179209088058462
HST,2.308137021714921
MTD,0.9692418639176907
CCI,1.28197687434905
KMI,1.0384695673083184
RMD,0.834963320137938
LUV,1.7265757683369565
NWS,2.7167431572804794
AMGN,1.8616491950461433
APD,1.2248244816385878
TGT,1.340881991913131
MYL,0.8932799452587622
GPC,2.924464195480155
FCX,1.0313162803944909
KO,2.1971578395739524
DISCK,2.3096592718590108
FISV,0.9488954080578804
ACN,1.113857669340631
SRCL,0.7501063661923235
IT,1.3373284476702674
PHM,1.1252252514376082
ALB,0.9902917360691271
AAPL,0.9190627984536254
EFX,2.1015961959395137
FE,1.5105670290637319
COST,1.0606439166888946
GWW,1.3581101466189422
M,0.8264829931760201
CRM,0.8858414532311987
LKQ,2.216065603315
AON,1.1043185924986845
PEP,1.9512497779197016
RJF,1.2811378025870532
ORCL,1.949619444940402
MHK,1.2551682079723412
PPL,2.7554877393877537
FMC,0.8895256452785432
OKE,0.9173258155980414
EQR,2.1589960066234664
RCL,1.3470625587214564
IRM,2.2335183274879347
BA,0.6338731123504304
ABC,2.8242044595967335
GIS,2.641280776198794
SYF,2.4933359586834767
BMY,2.6885152748619983
ADBE,0.6160597494509739
SNPS,0.8013663430252196
BWA,1.6822710938226986
MSI,0.7857028051967873
COF,2.0347637955056546
LYB,2.072392824468477
RTN,1.1583379939053233
FFIV,1.7013819459588144
HLT,1.0598993481607704
CVS,1.7079627340498365
NEE,0.9286832114176752
KMX,1.703158159266752
INCY,1.2682583277151145
MGM,1.563852552205953
AES,1.1826406099615412
GM,1.9037211165069965
FDX,1.5098202059987225
ADP,1.0045789926171458
HOLX,2.425411589403344
NRG,0.6922170062921974
NBL,1.259853468877914
MSFT,0.6881506526553905
COG,1.9529827367707386
OXY,2.054770999686784
GOOGL,1.198026347521591
GS,1.8288212830340496
HRB,2.2106749521427664
AJG,0.9671115946025483
CINF,1.1213737557767587
TXN,0.8862468117623082
ETN,1.6047656571399305
EXPE,2.4073113811931015
TMO,0.9572371356767689
BSX,0.9337867903812139
CTAS,0.7031855337517299
WBA,2.2242013116506714
UNH,0.8928925321222835
HSY,1.4696819942330825
FB,1.1057666021536463
EIX,2.2694614650312994
SBUX,1.3884881607519866
MCO,0.927983578033472
HII,1.154338097679099
RL,1.6850277667707554
LNT,1.3667178700729121
AXP,1.2144084830799449
